timestamp,symbol,side,price,quantity,reason
168300,TOMATOES,SELL,4994,4,passive
170200,EMERALDS,SELL,9999,6,passive
170900,TOMATOES,BUY,4983,3,passive
174700,TOMATOES,SELL,4992,6,aggressive
176100,TOMATOES,SELL,4997,4,passive
176400,TOMATOES,BUY,4985,3,passive
177000,TOMATOES,BUY,4986,2,passive
180400,TOMATOES,BUY,4982,3,passive
181200,TOMATOES,BUY,4983,4,passive
182300,TOMATOES,SELL,4991,10,aggressive
182700,TOMATOES,BUY,4982,5,passive
182800,EMERALDS,SELL,10007,5,passive
183700,TOMATOES,SELL,4990,6,aggressive
185300,TOMATOES,SELL,4996,3,passive
187200,TOMATOES,SELL,4999,2,passive
187700,TOMATOES,BUY,4989,3,passive
188400,TOMATOES,SELL,5001,5,passive
189100,TOMATOES,BUY,4988,3,passive
191800,TOMATOES,SELL,4999,3,passive
192800,TOMATOES,BUY,4985,3,passive
195800,TOMATOES,BUY,4992,3,passive
