,day,timestamp,symbol,price,quantity,bid_price_1,ask_price_1,mid_price,trade_side,trade_minus_mid
45,-2,43200,TOMATOES,4991.0,3,4991,5004,4997.5,sell_initiated,-6.5
47,-2,45700,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
48,-2,47000,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
50,-2,51500,TOMATOES,4998.0,2,4998,5012,5005.0,sell_initiated,-7.0
53,-2,53500,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
60,-2,62900,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
62,-2,65000,TOMATOES,5017.0,5,5003,5017,5010.0,buy_initiated,7.0
63,-2,65500,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
66,-2,67000,TOMATOES,5020.0,5,5006,5020,5013.0,buy_initiated,7.0
68,-2,68300,TOMATOES,5021.0,2,5008,5021,5014.5,buy_initiated,6.5
69,-2,68700,TOMATOES,5020.0,4,5007,5020,5013.5,buy_initiated,6.5
70,-2,69000,TOMATOES,5005.0,5,5005,5019,5012.0,sell_initiated,-7.0
73,-2,73400,TOMATOES,5022.0,5,5008,5022,5015.0,buy_initiated,7.0
86,-2,84300,EMERALDS,9992.0,8,9992,10008,10000.0,sell_initiated,-8.0
91,-2,91000,EMERALDS,10008.0,3,9992,10008,10000.0,buy_initiated,8.0
92,-2,92800,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
93,-2,93000,TOMATOES,5011.0,5,5011,5024,5017.5,sell_initiated,-6.5
94,-2,93300,TOMATOES,5010.0,3,5010,5024,5017.0,sell_initiated,-7.0
103,-2,98800,TOMATOES,5024.0,3,5010,5024,5017.0,buy_initiated,7.0
104,-2,99600,TOMATOES,5024.0,4,5011,5024,5017.5,buy_initiated,6.5
107,-2,103000,TOMATOES,5013.0,3,5013,5026,5019.5,sell_initiated,-6.5
109,-2,104300,EMERALDS,10008.0,6,9992,10008,10000.0,buy_initiated,8.0
110,-2,104600,TOMATOES,5012.0,3,5012,5026,5019.0,sell_initiated,-7.0
114,-2,111900,EMERALDS,9992.0,7,9992,10008,10000.0,sell_initiated,-8.0
116,-2,112000,TOMATOES,5016.0,5,5016,5024,5020.0,sell_initiated,-4.0
119,-2,114400,TOMATOES,5014.0,2,5014,5028,5021.0,sell_initiated,-7.0
120,-2,115300,TOMATOES,5013.0,4,5013,5026,5019.5,sell_initiated,-6.5
121,-2,115500,TOMATOES,5025.0,3,5011,5025,5018.0,buy_initiated,7.0
123,-2,116900,TOMATOES,5017.0,3,5010,5017,5013.5,buy_initiated,3.5
124,-2,117800,TOMATOES,5018.0,3,5011,5018,5014.5,buy_initiated,3.5
125,-2,119100,TOMATOES,5024.0,5,5010,5024,5017.0,buy_initiated,7.0
126,-2,120700,EMERALDS,9992.0,8,9992,10008,10000.0,sell_initiated,-8.0
127,-2,120700,TOMATOES,5024.0,2,5010,5024,5017.0,buy_initiated,7.0
129,-2,121200,TOMATOES,5011.0,5,5011,5016,5013.5,sell_initiated,-2.5
130,-2,121800,TOMATOES,5027.0,4,5013,5027,5020.0,buy_initiated,7.0
131,-2,122400,TOMATOES,5029.0,5,5015,5029,5022.0,buy_initiated,7.0
132,-2,123000,EMERALDS,9992.0,8,9992,10008,10000.0,sell_initiated,-8.0
134,-2,125300,TOMATOES,5012.0,4,5012,5025,5018.5,sell_initiated,-6.5
135,-2,125900,EMERALDS,9992.0,4,9992,10008,10000.0,sell_initiated,-8.0
136,-2,127200,EMERALDS,10008.0,7,9992,10008,10000.0,buy_initiated,8.0
137,-2,127400,TOMATOES,5011.0,2,5011,5024,5017.5,sell_initiated,-6.5
141,-2,129700,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
144,-2,131400,TOMATOES,5020.0,2,5006,5020,5013.0,buy_initiated,7.0
146,-2,131900,TOMATOES,5019.0,2,5006,5019,5012.5,buy_initiated,6.5
150,-2,132600,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
153,-2,133800,TOMATOES,5016.0,2,5003,5016,5009.5,buy_initiated,6.5
158,-2,137000,TOMATOES,5003.0,4,5003,5016,5009.5,sell_initiated,-6.5
160,-2,139800,TOMATOES,5014.0,3,5000,5014,5007.0,buy_initiated,7.0
161,-2,140400,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
162,-2,140600,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
165,-2,143400,TOMATOES,5000.0,2,5000,5013,5006.5,sell_initiated,-6.5
166,-2,143800,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
169,-2,147200,TOMATOES,5009.0,4,4995,5009,5002.0,buy_initiated,7.0
170,-2,147600,TOMATOES,5008.0,4,4995,5008,5001.5,buy_initiated,6.5
171,-2,149200,EMERALDS,9992.0,8,9992,10008,10000.0,sell_initiated,-8.0
174,-2,153300,TOMATOES,4996.0,3,4996,5010,5003.0,sell_initiated,-7.0
177,-2,156400,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
179,-2,157200,TOMATOES,5007.0,3,4993,5007,5000.0,buy_initiated,7.0
182,-2,158700,TOMATOES,4991.0,2,4991,5004,4997.5,sell_initiated,-6.5
185,-2,159600,EMERALDS,9992.0,8,9992,10008,10000.0,sell_initiated,-8.0
186,-2,159700,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
187,-2,159900,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
192,-2,164000,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
193,-2,164200,TOMATOES,4988.0,5,4988,5001,4994.5,sell_initiated,-6.5
194,-2,165500,TOMATOES,4991.0,3,4991,5004,4997.5,sell_initiated,-6.5
195,-2,165700,TOMATOES,4990.0,3,4990,5004,4997.0,sell_initiated,-7.0
196,-2,167200,TOMATOES,4992.0,2,4992,5006,4999.0,sell_initiated,-7.0
199,-2,168900,TOMATOES,5006.0,2,4992,5006,4999.0,buy_initiated,7.0
202,-2,174400,TOMATOES,4991.0,5,4991,4998,4994.5,sell_initiated,-3.5
203,-2,175800,TOMATOES,5001.0,5,4987,5001,4994.0,buy_initiated,7.0
207,-2,177100,TOMATOES,4988.0,3,4988,5001,4994.5,sell_initiated,-6.5
208,-2,178600,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
209,-2,179200,TOMATOES,5000.0,2,4994,5000,4997.0,buy_initiated,3.0
210,-2,179400,TOMATOES,5000.0,2,4987,5000,4993.5,buy_initiated,6.5
215,-2,182800,TOMATOES,5001.0,5,4988,5001,4994.5,buy_initiated,6.5
216,-2,183100,TOMATOES,4986.0,2,4986,5000,4993.0,sell_initiated,-7.0
217,-2,183700,TOMATOES,4986.0,4,4986,5000,4993.0,sell_initiated,-7.0
218,-2,183900,TOMATOES,5000.0,2,4986,5000,4993.0,buy_initiated,7.0
219,-2,184800,TOMATOES,4991.0,2,4986,4991,4988.5,buy_initiated,2.5
220,-2,185200,TOMATOES,4985.0,4,4985,4998,4991.5,sell_initiated,-6.5
223,-2,187600,TOMATOES,4989.0,4,4989,5003,4996.0,sell_initiated,-7.0
225,-2,188000,TOMATOES,5002.0,3,4989,5002,4995.5,buy_initiated,6.5
228,-2,191400,TOMATOES,5003.0,5,4989,5003,4996.0,buy_initiated,7.0
230,-2,192400,TOMATOES,4991.0,5,4991,5004,4997.5,sell_initiated,-6.5
232,-2,192900,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
233,-2,193400,TOMATOES,5005.0,2,4991,5005,4998.0,buy_initiated,7.0
234,-2,193500,TOMATOES,4991.0,3,4991,5004,4997.5,sell_initiated,-6.5
235,-2,193700,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
236,-2,194100,EMERALDS,9992.0,5,9992,10000,9996.0,sell_initiated,-4.0
238,-2,197100,TOMATOES,4991.0,3,4991,5005,4998.0,sell_initiated,-7.0
240,-2,202400,TOMATOES,4993.0,5,4993,5007,5000.0,sell_initiated,-7.0
242,-2,203900,TOMATOES,5007.0,5,4994,5007,5000.5,buy_initiated,6.5
243,-2,204100,TOMATOES,5007.0,3,4994,5007,5000.5,buy_initiated,6.5
248,-2,207600,EMERALDS,10008.0,3,9992,10008,10000.0,buy_initiated,8.0
249,-2,209300,EMERALDS,10000.0,3,9992,10000,9996.0,buy_initiated,4.0
250,-2,209300,TOMATOES,4996.0,4,4996,5009,5002.5,sell_initiated,-6.5
251,-2,209600,TOMATOES,4995.0,2,4995,5009,5002.0,sell_initiated,-7.0
252,-2,209900,EMERALDS,9992.0,8,9992,10000,9996.0,sell_initiated,-4.0
254,-2,210200,TOMATOES,4995.0,4,4995,5008,5001.5,sell_initiated,-6.5
255,-2,211000,TOMATOES,4996.0,4,4996,5009,5002.5,sell_initiated,-6.5
256,-2,211800,TOMATOES,5009.0,2,4996,5009,5002.5,buy_initiated,6.5
257,-2,211900,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
258,-2,211900,TOMATOES,4996.0,4,4996,5009,5002.5,sell_initiated,-6.5
262,-2,215200,EMERALDS,9992.0,7,9992,10008,10000.0,sell_initiated,-8.0
265,-2,217300,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
266,-2,217700,TOMATOES,5005.0,3,4992,5005,4998.5,buy_initiated,6.5
268,-2,218700,TOMATOES,4991.0,4,4991,5004,4997.5,sell_initiated,-6.5
273,-2,225900,TOMATOES,5006.0,3,4992,5006,4999.0,buy_initiated,7.0
279,-2,232400,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
281,-2,233400,TOMATOES,5004.0,2,4991,5004,4997.5,buy_initiated,6.5
282,-2,233500,TOMATOES,4990.0,2,4990,5004,4997.0,sell_initiated,-7.0
283,-2,233700,TOMATOES,4990.0,4,4990,5004,4997.0,sell_initiated,-7.0
285,-2,235100,TOMATOES,4991.0,5,4991,5005,4998.0,sell_initiated,-7.0
287,-2,236900,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
290,-2,243000,TOMATOES,4988.0,3,4988,5001,4994.5,sell_initiated,-6.5
292,-2,244200,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
293,-2,245500,TOMATOES,5002.0,5,4989,5002,4995.5,buy_initiated,6.5
294,-2,247400,TOMATOES,4991.0,4,4991,5004,4997.5,sell_initiated,-6.5
298,-2,250200,TOMATOES,4992.0,3,4992,5005,4998.5,sell_initiated,-6.5
302,-2,255300,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
303,-2,255800,TOMATOES,4997.0,3,4997,5005,5001.0,sell_initiated,-4.0
304,-2,257600,TOMATOES,4989.0,2,4989,5002,4995.5,sell_initiated,-6.5
305,-2,258100,TOMATOES,5002.0,3,4989,5002,4995.5,buy_initiated,6.5
306,-2,258200,TOMATOES,5002.0,4,4988,5002,4995.0,buy_initiated,7.0
307,-2,259000,TOMATOES,5001.0,3,4988,5001,4994.5,buy_initiated,6.5
309,-2,259700,TOMATOES,4988.0,2,4988,5002,4995.0,sell_initiated,-7.0
310,-2,259900,TOMATOES,5002.0,3,4988,5002,4995.0,buy_initiated,7.0
311,-2,260200,TOMATOES,4989.0,3,4989,5002,4995.5,sell_initiated,-6.5
312,-2,260800,TOMATOES,4989.0,4,4989,5002,4995.5,sell_initiated,-6.5
313,-2,261400,EMERALDS,10008.0,3,9992,10008,10000.0,buy_initiated,8.0
316,-2,263300,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
317,-2,263400,TOMATOES,5004.0,2,4990,5004,4997.0,buy_initiated,7.0
318,-2,263500,TOMATOES,4991.0,3,4991,5004,4997.5,sell_initiated,-6.5
319,-2,264200,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
323,-2,271100,EMERALDS,10008.0,3,9992,10008,10000.0,buy_initiated,8.0
324,-2,272600,TOMATOES,5008.0,4,4995,5008,5001.5,buy_initiated,6.5
325,-2,273100,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
326,-2,274200,TOMATOES,5012.0,2,4998,5012,5005.0,buy_initiated,7.0
328,-2,275200,TOMATOES,5013.0,2,5000,5013,5006.5,buy_initiated,6.5
329,-2,275500,TOMATOES,5013.0,2,4999,5013,5006.0,buy_initiated,7.0
331,-2,276900,TOMATOES,4998.0,4,4998,5012,5005.0,sell_initiated,-7.0
332,-2,277700,EMERALDS,10000.0,5,10000,10008,10004.0,sell_initiated,-4.0
333,-2,278500,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
336,-2,280900,TOMATOES,5008.0,4,5008,5016,5012.0,sell_initiated,-4.0
337,-2,281200,TOMATOES,5016.0,5,5003,5016,5009.5,buy_initiated,6.5
339,-2,282200,TOMATOES,5016.0,4,5003,5016,5009.5,buy_initiated,6.5
343,-2,283400,TOMATOES,5001.0,5,5001,5015,5008.0,sell_initiated,-7.0
345,-2,286300,TOMATOES,5002.0,2,5002,5016,5009.0,sell_initiated,-7.0
348,-2,289600,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
349,-2,289600,TOMATOES,4995.0,3,4995,5009,5002.0,sell_initiated,-7.0
352,-2,292200,TOMATOES,5008.0,5,5000,5008,5004.0,buy_initiated,4.0
357,-2,298300,TOMATOES,5008.0,3,4994,5008,5001.0,buy_initiated,7.0
358,-2,298800,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
363,-2,302300,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
365,-2,305800,EMERALDS,10008.0,7,9992,10008,10000.0,buy_initiated,8.0
366,-2,307300,TOMATOES,4998.0,4,4998,5011,5004.5,sell_initiated,-6.5
367,-2,307700,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
370,-2,308300,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
371,-2,308400,EMERALDS,10008.0,6,9992,10008,10000.0,buy_initiated,8.0
372,-2,308500,EMERALDS,9992.0,4,9992,10008,10000.0,sell_initiated,-8.0
374,-2,311300,TOMATOES,4996.0,3,4996,5003,4999.5,sell_initiated,-3.5
375,-2,311600,TOMATOES,4996.0,4,4996,5003,4999.5,sell_initiated,-3.5
377,-2,313700,TOMATOES,5009.0,4,4995,5009,5002.0,buy_initiated,7.0
383,-2,316800,TOMATOES,5010.0,4,4997,5010,5003.5,buy_initiated,6.5
385,-2,322400,TOMATOES,5013.0,5,5000,5013,5006.5,buy_initiated,6.5
386,-2,322500,TOMATOES,4999.0,3,4999,5013,5006.0,sell_initiated,-7.0
388,-2,324200,EMERALDS,9992.0,4,9992,10008,10000.0,sell_initiated,-8.0
389,-2,324400,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
390,-2,324600,EMERALDS,10008.0,6,9992,10008,10000.0,buy_initiated,8.0
391,-2,325400,EMERALDS,9992.0,4,9992,10008,10000.0,sell_initiated,-8.0
401,-2,330500,TOMATOES,5006.0,3,5006,5020,5013.0,sell_initiated,-7.0
404,-2,331600,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
406,-2,332500,EMERALDS,9992.0,4,9992,10008,10000.0,sell_initiated,-8.0
407,-2,332500,TOMATOES,5007.0,4,5007,5020,5013.5,sell_initiated,-6.5
408,-2,332600,TOMATOES,5020.0,4,5007,5020,5013.5,buy_initiated,6.5
410,-2,334400,TOMATOES,5021.0,3,5008,5021,5014.5,buy_initiated,6.5
411,-2,335100,TOMATOES,5021.0,5,5008,5021,5014.5,buy_initiated,6.5
412,-2,335500,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
415,-2,337000,TOMATOES,5023.0,4,5017,5023,5020.0,buy_initiated,3.0
417,-2,340000,TOMATOES,5008.0,4,5008,5022,5015.0,sell_initiated,-7.0
418,-2,342000,TOMATOES,5005.0,2,5005,5018,5011.5,sell_initiated,-6.5
420,-2,345300,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
421,-2,345400,TOMATOES,5020.0,5,5011,5020,5015.5,buy_initiated,4.5
422,-2,349400,TOMATOES,5007.0,3,5007,5020,5013.5,sell_initiated,-6.5
423,-2,350400,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
424,-2,351100,TOMATOES,5008.0,5,5008,5022,5015.0,sell_initiated,-7.0
428,-2,355700,EMERALDS,9992.0,8,9992,10008,10000.0,sell_initiated,-8.0
429,-2,356100,TOMATOES,5024.0,2,5010,5024,5017.0,buy_initiated,7.0
431,-2,357700,TOMATOES,5010.0,5,5010,5024,5017.0,sell_initiated,-7.0
432,-2,359800,TOMATOES,5010.0,4,5010,5024,5017.0,sell_initiated,-7.0
435,-2,363300,EMERALDS,10008.0,6,9992,10008,10000.0,buy_initiated,8.0
439,-2,367500,TOMATOES,5010.0,5,5010,5023,5016.5,sell_initiated,-6.5
442,-2,368900,TOMATOES,5008.0,3,5008,5022,5015.0,sell_initiated,-7.0
445,-2,370300,TOMATOES,5020.0,5,5006,5020,5013.0,buy_initiated,7.0
447,-2,372000,TOMATOES,5008.0,2,5008,5022,5015.0,sell_initiated,-7.0
450,-2,375700,TOMATOES,5013.0,5,5013,5020,5016.5,sell_initiated,-3.5
451,-2,376600,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
452,-2,376700,TOMATOES,5009.0,2,5009,5022,5015.5,sell_initiated,-6.5
454,-2,380500,TOMATOES,5008.0,2,5008,5021,5014.5,sell_initiated,-6.5
455,-2,382300,TOMATOES,5011.0,5,5011,5024,5017.5,sell_initiated,-6.5
456,-2,382700,TOMATOES,5024.0,4,5018,5024,5021.0,buy_initiated,3.0
459,-2,384000,TOMATOES,5024.0,4,5010,5024,5017.0,buy_initiated,7.0
463,-2,386800,TOMATOES,5021.0,5,5007,5021,5014.0,buy_initiated,7.0
468,-2,390300,TOMATOES,5018.0,5,5004,5018,5011.0,buy_initiated,7.0
471,-2,392600,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
473,-2,394300,TOMATOES,5016.0,3,5002,5016,5009.0,buy_initiated,7.0
474,-2,396600,EMERALDS,9992.0,7,9992,10008,10000.0,sell_initiated,-8.0
476,-2,397900,TOMATOES,5012.0,2,4999,5012,5005.5,buy_initiated,6.5
479,-2,398700,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
483,-2,402300,EMERALDS,10008.0,6,9992,10008,10000.0,buy_initiated,8.0
485,-2,404400,TOMATOES,5012.0,5,4998,5012,5005.0,buy_initiated,7.0
486,-2,404800,EMERALDS,10008.0,5,9992,10008,10000.0,buy_initiated,8.0
492,-2,408800,EMERALDS,10008.0,7,9992,10008,10000.0,buy_initiated,8.0
494,-2,411200,TOMATOES,5015.0,2,5002,5015,5008.5,buy_initiated,6.5
496,-2,413000,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
497,-2,413600,EMERALDS,9992.0,8,9992,10008,10000.0,sell_initiated,-8.0
499,-2,413900,TOMATOES,5002.0,2,5002,5015,5008.5,sell_initiated,-6.5
500,-2,414000,EMERALDS,9992.0,7,9992,10008,10000.0,sell_initiated,-8.0
505,-2,415800,TOMATOES,5011.0,5,4998,5011,5004.5,buy_initiated,6.5
512,-2,417900,TOMATOES,5009.0,4,5009,5015,5012.0,sell_initiated,-3.0
514,-2,419700,EMERALDS,9992.0,4,9992,10008,10000.0,sell_initiated,-8.0
516,-2,420800,EMERALDS,9992.0,7,9992,10008,10000.0,sell_initiated,-8.0
519,-2,422300,TOMATOES,5020.0,4,5006,5020,5013.0,buy_initiated,7.0
522,-2,426300,TOMATOES,5004.0,2,5004,5017,5010.5,sell_initiated,-6.5
525,-2,427500,TOMATOES,5014.0,5,5000,5014,5007.0,buy_initiated,7.0
526,-2,428600,TOMATOES,5016.0,5,5002,5016,5009.0,buy_initiated,7.0
527,-2,429100,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
528,-2,429500,TOMATOES,5003.0,3,5003,5016,5009.5,sell_initiated,-6.5
529,-2,431000,TOMATOES,5014.0,3,5001,5014,5007.5,buy_initiated,6.5
531,-2,431500,TOMATOES,5015.0,2,5001,5015,5008.0,buy_initiated,7.0
532,-2,431900,TOMATOES,5001.0,4,5001,5014,5007.5,sell_initiated,-6.5
533,-2,432700,TOMATOES,5000.0,3,5000,5014,5007.0,sell_initiated,-7.0
534,-2,432900,TOMATOES,5014.0,5,5001,5014,5007.5,buy_initiated,6.5
536,-2,434900,TOMATOES,5003.0,3,5003,5017,5010.0,sell_initiated,-7.0
537,-2,435100,TOMATOES,5016.0,4,5003,5016,5009.5,buy_initiated,6.5
538,-2,436600,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
539,-2,437300,TOMATOES,5002.0,4,5002,5016,5009.0,sell_initiated,-7.0
544,-2,442000,TOMATOES,4998.0,2,4998,5012,5005.0,sell_initiated,-7.0
546,-2,443900,TOMATOES,5011.0,2,4997,5011,5004.0,buy_initiated,7.0
548,-2,445800,TOMATOES,4999.0,5,4999,5012,5005.5,sell_initiated,-6.5
552,-2,450300,TOMATOES,4998.0,3,4998,5012,5005.0,sell_initiated,-7.0
555,-2,452300,TOMATOES,4997.0,2,4997,5004,5000.5,sell_initiated,-3.5
556,-2,452400,TOMATOES,5011.0,5,4998,5011,5004.5,buy_initiated,6.5
557,-2,453100,TOMATOES,4998.0,3,4998,5012,5005.0,sell_initiated,-7.0
563,-2,456000,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
567,-2,457800,EMERALDS,9992.0,8,9992,10008,10000.0,sell_initiated,-8.0
569,-2,459000,TOMATOES,5007.0,5,4993,5007,5000.0,buy_initiated,7.0
570,-2,459200,TOMATOES,5006.0,3,4992,5006,4999.0,buy_initiated,7.0
571,-2,459700,EMERALDS,10008.0,8,9992,10008,10000.0,buy_initiated,8.0
574,-2,460900,TOMATOES,4992.0,4,4992,5005,4998.5,sell_initiated,-6.5
575,-2,463900,TOMATOES,5008.0,5,4994,5008,5001.0,buy_initiated,7.0
579,-2,469700,TOMATOES,4991.0,2,4991,5005,4998.0,sell_initiated,-7.0
582,-2,473100,EMERALDS,10008.0,6,9992,10008,10000.0,buy_initiated,8.0
583,-2,474600,TOMATOES,4994.0,2,4994,5007,5000.5,sell_initiated,-6.5
584,-2,475300,TOMATOES,5008.0,2,4995,5008,5001.5,buy_initiated,6.5
586,-2,479300,TOMATOES,5003.0,4,4989,5003,4996.0,buy_initiated,7.0
588,-2,480500,TOMATOES,5005.0,4,4991,5005,4998.0,buy_initiated,7.0
592,-2,485700,TOMATOES,5000.0,5,4987,5000,4993.5,buy_initiated,6.5
594,-2,488400,TOMATOES,4987.0,4,4987,5001,4994.0,sell_initiated,-7.0
595,-2,488900,TOMATOES,4986.0,5,4986,4999,4992.5,sell_initiated,-6.5
597,-2,490800,TOMATOES,4986.0,5,4986,4999,4992.5,sell_initiated,-6.5
598,-2,491600,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
599,-2,491900,EMERALDS,9992.0,5,9992,10008,10000.0,sell_initiated,-8.0
600,-2,492400,TOMATOES,5002.0,4,4988,5002,4995.0,buy_initiated,7.0
602,-2,493300,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
606,-2,496700,TOMATOES,4984.0,5,4984,4998,4991.0,sell_initiated,-7.0
607,-2,497600,TOMATOES,4993.0,2,4993,4999,4996.0,sell_initiated,-3.0
608,-2,497900,TOMATOES,4985.0,3,4985,4998,4991.5,sell_initiated,-6.5
611,-2,499000,TOMATOES,4987.0,4,4987,5001,4994.0,sell_initiated,-7.0
615,-2,502900,TOMATOES,4999.0,4,4986,4999,4992.5,buy_initiated,6.5
616,-2,504900,TOMATOES,4998.0,4,4985,4998,4991.5,buy_initiated,6.5
618,-2,506800,TOMATOES,4986.0,3,4986,5000,4993.0,sell_initiated,-7.0
619,-2,507200,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
623,-2,511100,TOMATOES,4987.0,4,4987,5001,4994.0,sell_initiated,-7.0
628,-2,517600,EMERALDS,9992.0,6,9992,10008,10000.0,sell_initiated,-8.0
629,-2,517700,EMERALDS,10008.0,3,9992,10008,10000.0,buy_initiated,8.0
632,-2,520600,TOMATOES,5001.0,4,4988,5001,4994.5,buy_initiated,6.5
633,-2,521000,EMERALDS,10008.0,4,9992,10008,10000.0,buy_initiated,8.0
634,-2,522600,TOMATOES,4988.0,5,4988,5002,4995.0,sell_initiated,-7.0
635,-2,524100,EMERALDS,9992.0,4,9992,10008,10000.0,sell_initiated,-8.0
639,-2,527600,EMERALDS,9992.0,4,9992,10008,10000.0,sell_initiated,-8.0
640,-2,527700,TOMATOES,4984.0,5,4984,4997,4990.5,sell_initiated,-6.5
641,-2,529400,TOMATOES,4988.0,3,4988,5002,4995.0,sell_initiated,-7.0
642,-2,529600,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
646,-2,535200,EMERALDS,9992.0,3,9992,10008,10000.0,sell_initiated,-8.0
647,-2,536100,TOMATOES,5007.0,5,4994,5007,5000.5,buy_initiated,6.5
